,timestamp,date,activity
0,2003-11-25 09:00:00,2003-11-25,5
1,2003-11-25 09:01:00,2003-11-25,3
2,2003-11-25 09:02:00,2003-11-25,3
3,2003-11-25 09:03:00,2003-11-25,3
4,2003-11-25 09:04:00,2003-11-25,3
5,2003-11-25 09:05:00,2003-11-25,3
6,2003-11-25 09:06:00,2003-11-25,3
7,2003-11-25 09:07:00,2003-11-25,3
8,2003-11-25 09:08:00,2003-11-25,3
9,2003-11-25 09:09:00,2003-11-25,3
10,2003-11-25 09:10:00,2003-11-25,3
11,2003-11-25 09:11:00,2003-11-25,3
12,2003-11-25 09:12:00,2003-11-25,3
13,2003-11-25 09:13:00,2003-11-25,3
14,2003-11-25 09:14:00,2003-11-25,3
15,2003-11-25 09:15:00,2003-11-25,3
16,2003-11-25 09:16:00,2003-11-25,3
17,2003-11-25 09:17:00,2003-11-25,3
18,2003-11-25 09:18:00,2003-11-25,3
19,2003-11-25 09:19:00,2003-11-25,3
20,2003-11-25 09:20:00,2003-11-25,3
21,2003-11-25 09:21:00,2003-11-25,3
22,2003-11-25 09:22:00,2003-11-25,3
23,2003-11-25 09:23:00,2003-11-25,3
24,2003-11-25 09:24:00,2003-11-25,3
25,2003-11-25 09:25:00,2003-11-25,3
26,2003-11-25 09:26:00,2003-11-25,3
27,2003-11-25 09:27:00,2003-11-25,3
28,2003-11-25 09:28:00,2003-11-25,3
29,2003-11-25 09:29:00,2003-11-25,3
30,2003-11-25 09:30:00,2003-11-25,3
31,2003-11-25 09:31:00,2003-11-25,3
32,2003-11-25 09:32:00,2003-11-25,3
33,2003-11-25 09:33:00,2003-11-25,3
34,2003-11-25 09:34:00,2003-11-25,3
35,2003-11-25 09:35:00,2003-11-25,3
36,2003-11-25 09:36:00,2003-11-25,3
37,2003-11-25 09:37:00,2003-11-25,3
38,2003-11-25 09:38:00,2003-11-25,3
39,2003-11-25 09:39:00,2003-11-25,3
40,2003-11-25 09:40:00,2003-11-25,3
41,2003-11-25 09:41:00,2003-11-25,3
42,2003-11-25 09:42:00,2003-11-25,3
43,2003-11-25 09:43:00,2003-11-25,3
44,2003-11-25 09:44:00,2003-11-25,3
45,2003-11-25 09:45:00,2003-11-25,3
46,2003-11-25 09:46:00,2003-11-25,3
47,2003-11-25 09:47:00,2003-11-25,3
48,2003-11-25 09:48:00,2003-11-25,3
49,2003-11-25 09:49:00,2003-11-25,3
50,2003-11-25 09:50:00,2003-11-25,3
51,2003-11-25 09:51:00,2003-11-25,3
52,2003-11-25 09:52:00,2003-11-25,3
53,2003-11-25 09:53:00,2003-11-25,3
54,2003-11-25 09:54:00,2003-11-25,3
55,2003-11-25 09:55:00,2003-11-25,3
56,2003-11-25 09:56:00,2003-11-25,3
57,2003-11-25 09:57:00,2003-11-25,689
58,2003-11-25 09:58:00,2003-11-25,517
59,2003-11-25 09:59:00,2003-11-25,259
60,2003-11-25 10:00:00,2003-11-25,485
61,2003-11-25 10:01:00,2003-11-25,242
62,2003-11-25 10:02:00,2003-11-25,439
63,2003-11-25 10:03:00,2003-11-25,79
64,2003-11-25 10:04:00,2003-11-25,242
65,2003-11-25 10:05:00,2003-11-25,8
66,2003-11-25 10:06:00,2003-11-25,3
67,2003-11-25 10:07:00,2003-11-25,5
68,2003-11-25 10:08:00,2003-11-25,3
69,2003-11-25 10:09:00,2003-11-25,3
70,2003-11-25 10:10:00,2003-11-25,3
71,2003-11-25 10:11:00,2003-11-25,0
72,2003-11-25 10:12:00,2003-11-25,0
73,2003-11-25 10:13:00,2003-11-25,0
74,2003-11-25 10:14:00,2003-11-25,0
75,2003-11-25 10:15:00,2003-11-25,0
76,2003-11-25 10:16:00,2003-11-25,0
77,2003-11-25 10:17:00,2003-11-25,3
78,2003-11-25 10:18:00,2003-11-25,3
79,2003-11-25 10:19:00,2003-11-25,3
80,2003-11-25 10:20:00,2003-11-25,3
